hp_productname,hp_ratings,hp_price
HP Core i5 11th Gen ,4.3,56690.00
HP 14s Core i5 10th Gen ,4.4,59990.00
HP 14s Core i5 11th Gen ,4.3,57490.00
HP Spectre x360 Core i5 10th Gen ,5,126000.00
HP Spectre x360 Core i5 10th Gen,4.5,122803.00
HP Envy Core i5 10th Gen ,4.2,74990.00
HP Pavilion x360 Core i5 11th Gen ,4.4,68990.00
HP 15s Core i5 11th Gen ,4.2,64990.00
HP 15s Core i5 10th Gen,4.2,61990.00
HP 15q Core i5 7th Gen,4.1,51930.00
HP Pavilion 15-CS Core i5 8th Gen ,4.3,64990.00
HP 14q Core i5 8th Gen ,4.2,44097.00
